id,city_name,content,nick_name,score
316,娄底,零点看首映竟然不是英文原版！💔💔  😪 😪欺骗观众，伤了漫威铁粉的心💔 💔 👊 👊  ,赏金猎手,0.5
317,南阳,内容不错(*๓´╰╯`๓)♡,QWv215616005,4.5
318,上海,这也太好看了吧,iBt12768499,5.0
319,宁德,复联5没有我出场是镇不住了！除我没有更大的boss！,Xiechengjie21,5.0
320,佛山,集结号一般的回忆！,Cocolala,4.5
321,富顺,太感动了 不过寡姐不是要拍新电影么？怎么回来……,FnP437909448,5.0
322,珠海,10年收官，一路同行,c湯馬仕,5.0
323,池州,前面的尿点太多了，好看是挺好看的,九华山导游周,4.5
324,东兴,漫威十年，谢谢有你。,孤独源自悲伤,5.0
325,石家庄,对不起没等到最后。请问有彩蛋吗,AAAAAA格调造型,4.5
326,唐山,这个结局我喜欢！！过程巨tm好看！！！,JiB693333012,5.0
327,鞍山,扎心了。。。。。,咯啦怕咯啦咯,5.0
328,电白,好看。。。。。。。,rHb964236673,5.0
329,新乡,好看的不行了,Opr668620747,2.0
330,杭州,挺好看的，美式幽默，就是电影院里居然有人看哭了，可能是还不够煽动我？,也就那样吧,5.0
331,上海,看演员表我居然推测对了太酷了吧!,Lion3647,5.0
332,江门,我会想你的。,陈🌱,4.5
333,江门,我的青春散场。,大杰哥,5.0
334,深圳,听说灭霸已经死了，大Boss出来了，秒了灭霸，惊呆众人,明心100,5.0
335,淮安,实话说还行吧，给个中肯评价,我是老猫哦,4.0
336,上海,"不错
【如梭慢递】WX小程序，暗恋就用匿名功能",曟靊亹鼕,5.0
337,深圳,非常冗长拖沓，看的昏昏欲睡,Mr. Bean,0.5
338,广州,觉得整个电影院都是****在叫的顶我，忍了一个晚上,晨曦之月光,5.0
339,深圳,精彩，终局之战,vXJ147935437,5.0
340,柳州,十年无悔入漫威,巫qiu,5.0
341,上海,求求大佬爸爸们别剧透,oOP891001151,5.0
342,淮南,垃圾，没有3D，字幕不清，一个小时了，前戏看了三遍，还在等待。一级棒,A尤趣,0.5
343,温州,再见钢铁侠，美国队长,在下着了迷,5.0
344,福州,不枉费熬夜看首映,小陈清,5.0
345,永州,史上最难看的电影，连一分都不想给，*骗子，骗钱的,a良良💦15874608949,0.5
346,温州,3小时无尿点，太赞了,空白909,5.0
347,晋江市,就很帅不愧是钢铁侠,L,5.0
348,澄迈县,我最爱的钢铁侠！,学着踏实而务实.,5.0
349,广州,完结我的青春，感动,如也,5.0
350,莆田,敲级无敌期待!!!,喜塔腊式尔康,5.0
351,乌鲁木齐,不算好看，也不算难看吧,EPr502136608,3.5
352,晋中,爱漫威！我的青春,迈迈,5.0
353,广州,回到过去，逆转未来！😭😭😭妮妮,Alsos,5.0
354,西安,以凡人之躯，比肩神明,无厘头店小二,5.0
355,乐山,马上进场了，同样的影迷朋友点赞,zxR799134943,5.0
356,南京,英雄终会落幕，故事也一定会结束,吴亦几,5.0
357,上海,复联终结篇必须满分,杰克丹尼尔,5.0
358,乌鲁木齐,太烂了，12:05的电影一直不能正常播放，说的需要推迟一个小时。我们就是来看首映的这样算个什么？烂地方大家不要来看,mlM915726578,0.5
359,句容,相当完美，值得一看，,ATLAS_HERO,5.0
360,渭南,nice  qwq,那谁12138,5.0
361,广州,前2小时有点拖沓，最后决战还是不错。,tal674559712,3.0
362,丽水,只要是自己期待的电影不管好不好看都给好评,太阳很想吃糖,5.0
363,无锡,好看好看好看,ERecur,5.0
364,东莞,雷神这是在牺牲他的身材逗我们笑啊,kxO776263545,4.0
365,涟水,"还是电影院看的带劲
激情不缺乏搞笑",@👻 W👻,5.0
366,承德,止不住的眼泪,说学逗唱207,5.0
367,安吉,女神竟然死了.....,财神-朱,5.0
368,石家庄,明晚见我亲爱的绿巨人大哥,Okami,5.0
369,太原,要来了....,ā bing,5.0
370,仙游县,1.2.3都没看过，第4能看得懂么😂😂,卍御品艺雕,5.0
371,杭州,不知道为什么，我就是觉得这类电影都不喜欢看,YIC581886851,1.0
372,北京,特别强烈的视觉冲击 很不错的一部影片 更多的是感动与激情 感谢复仇者联盟4,黄小媛wy,5.0
373,无为,真好看，最后洛基复活给灭霸补了最后一刀,风止雲霁.,5.0
374,平潭,屏幕没有全屏，字都看不到，真的垃圾,一千年,0.5
375,六安,真的，感动感谢斯坦李为我们带来的这么精彩的作品。,日天酱,5.0
376,南京,"青春的谢幕
",Tankey,5.0
377,常州,太好看了 赞,Obu435268247,5.0
378,南宁,前面一个多小时都不知道在讲什么，看得要睡着了，直接走人了,彭宇翔,2.5
379,银川,憋尿。。。。。。。。。。。。。,👹,4.0
380,射阳,不是那么完美,芥末酱、,5.0
