,name,category,note,author,url,downloads,votes,comments
128,分享当前wifi（小白版）,效率,【求赞】不需要自己打开捷径再编辑，全程小白版,大先生,https://www.icloud.com/shortcuts/b74d41d857be42caa4a403517ac77bf6,5897,35,9
129,iOS12免越狱改苹果X手势,工具,不越狱也可以把手机改成苹果x手势,@Geek-小白,https://www.icloud.com/shortcuts/c18f644ec9eb459ea33f32bb11c79c1e,8389,35,27
130,复古短信图,娱乐,生成一张nokia时代风格的短信图,Kim,https://www.icloud.com/shortcuts/93f14a4a56764205ba0946b8343052dc,1760,35,33
131,淘宝优惠券查询,工具,淘宝、京东、拼多多；优惠券查询！每日推荐、超级搜索、聚划算、实时人气榜！历史价查询！,Bucket,https://www.icloud.com/shortcuts/d3d579ada44b462ba1158894bab8ec03,7075,35,10
132,快支付,工具,快支付主打轻便，简单，高效，支持支付宝，微信，银联云闪付等收付款调取，是全网操作最简洁的支付捷径,Kim,https://www.icloud.com/shortcuts/de03b26070e94f6da83ff44dc289b5a5,6164,35,7
133,快速扫码付款,生活,快速打开微信、支付宝扫码界面，快速打开支付宝付款码界面，快速打开 Apple Pay,鸡仔,https://www.icloud.com/shortcuts/d2bcee80d089487ebcaf22dcf466cf42,5906,35,4
134,iPhone订单生成,工具,iPhone订单生成，仅供装逼。,花小醉,https://www.icloud.com/shortcuts/a116f0cf2b654ddbadfdcd71961b99b7,5088,34,22
135,instagram视频图片下载,工具,视频，图片 全支持,爱因斯坦,https://www.icloud.com/shortcuts/2aede68e16c441c8a4844b76805ad1e8,12727,34,12
136,CCTV电视直播——VCard版本,生活,CCTV电视直播——VCard版本，iOS12专用,꧁IT Man꧂,https://www.icloud.com/shortcuts/38c2ff5408d74010a1c9becca668ae80,5349,34,31
137,小火箭🚀,工具,shadowrocket，小火箭开关切换,Q：2324661666,https://www.icloud.com/shortcuts/69fb02844c5e4b91ad321a8e2d7a94b2,6955,34,4
138,玩转微信,社交,【新增】新年许愿：新年快要到了，快来许个愿吧,黑悟空,https://www.icloud.com/shortcuts/67e05533193e4b9dba539cb0aa065d47,6223,34,17
139,重力感应滚动页面,娱乐,我有特殊的滚动姿势，服不服,Alen,https://www.icloud.com/shortcuts/639fe11488314ffaa2546f224e56d84a,5719,34,16
140,百度网盘压缩包下载神器（教程）,工具,非会员下载百度网盘压缩包文件,枫叶1003,https://www.icloud.com/shortcuts/504394a2c2b747978ba7603cf000d1b0,2020,33,2
141,迅雷Beta一键安装,工具,迅雷Beta一键安装,꧁IT Man꧂,https://www.icloud.com/shortcuts/77c6aa26e09a4b9386d284bcda037fb2,5065,33,12
142,语音转文字,效率,将语音转成文字并复制到粘贴板,小黑,https://www.icloud.com/shortcuts/2d77991dad5c42548fd233fe1f8ed228,2562,33,3
